No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,118,,,,,,
2,BouncyPlatform,1,1,4,-,-,-,-,-
3,BouncyPlatform,-2,3,4,-,-,-,-,-
4,BouncyPlatform,0,5,4,-,-,-,-,-
5,BouncyPlatform,2,5,4,-,-,-,-,-
6,BouncyPlatform,-1,7,3,-,-,-,-,-
7,BouncyPlatform,3,8,4,-,-,-,-,-
8,BouncyPlatform,1,9,4,-,-,-,-,-
9,BouncyPlatform,-1,10,3,-,-,-,-,-
10,BouncyPlatform,-1,15,3,-,-,-,-,-
11,BouncyPlatform,2,15,3,-,-,-,-,-
12,BouncyPlatform,0,18,3,-,-,-,-,-
13,BouncyPlatform,2,18,3,-,-,-,-,-
14,BouncyPlatform,1,21,3,-,-,-,-,-
15,BouncyPlatform,2,24,3,-,-,-,-,-
16,BouncyPlatform,1,26,4,-,-,-,-,-
17,BouncyPlatform,3,27,3,-,-,-,-,-
18,BouncyPlatform,0,28,4,-,-,-,-,-
19,BouncyPlatform,2,30,3,-,-,-,-,-
20,BouncyPlatform,1,32,4,-,-,-,-,-
21,BouncyPlatform,-2,34,3,-,-,-,-,-
22,BouncyPlatform,0,36,4,-,-,-,-,-
23,BouncyPlatform,2,36,4,-,-,-,-,-
24,BouncyPlatform,3,38,3,-,-,-,-,-
25,BouncyPlatform,-1,39,3,-,-,-,-,-
26,BouncyPlatform,-2,42,3,-,-,-,-,-
27,BouncyPlatform,2,44,4,-,-,-,-,-
28,BouncyPlatform,0,45,3,-,-,-,-,-
29,BouncyPlatform,-1,48,3,-,-,-,-,-
30,BouncyPlatform,1,48,4,-,-,-,-,-
31,BouncyPlatform,3,48,4,-,-,-,-,-
32,BouncyPlatform,-2,50,4,-,-,-,-,-
33,BouncyPlatform,-1,55,3,-,-,-,-,-
34,BouncyPlatform,-2,59,3,-,-,-,-,-
35,BouncyPlatform,2,59,5,-,-,-,-,-
36,BouncyPlatform,0,60,3,-,-,-,-,-
37,BouncyPlatform,1,63,4,-,-,-,-,-
38,BouncyPlatform,2,65,3,-,-,-,-,-
39,BouncyPlatform,3,67,3,-,-,-,-,-
40,BouncyPlatform,-1,69,4,-,-,-,-,-
41,BouncyPlatform,1,69,4,-,-,-,-,-
42,BouncyPlatform,-2,70,3,-,-,-,-,-
43,BouncyPlatform,2,71,4,-,-,-,-,-
44,BouncyPlatform,0,73,4,-,-,-,-,-
